id,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,call_failures,tariff_plan,status,age_group,complaints,churn,usage_intensity,engagement_intensity,sms_intensity,call_failure_rate,network_reach_ratio,usage_segment,charge_segment,tenure_segment,failure_segment,tariff_plan_flag,status_inactive_flag,complaints_flag,age_group_code
828,40,1,2665,45,292,20,9,A,Active,30-40,N,0,66.625,1.125,7.3,0.2,0.4444444444444444,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,1
829,39,0,15260,178,153,32,5,A,Active,Under 30,N,0,391.28205128205127,4.564102564102564,3.923076923076923,0.028089887640449437,0.1797752808988764,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
830,39,2,4138,94,41,34,7,A,Active,30-40,N,0,106.1025641025641,2.41025641025641,1.0512820512820513,0.07446808510638298,0.3617021276595745,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
831,34,0,2070,49,39,18,4,A,Inactive,30-40,N,0,60.88235294117647,1.4411764705882353,1.1470588235294117,0.08163265306122448,0.3673469387755102,Low usage,Zero charge tier,Short tenure,Low failure,0,1,0,1
832,41,2,4790,83,44,23,13,A,Active,30-40,N,0,116.82926829268293,2.024390243902439,1.0731707317073171,0.1566265060240964,0.27710843373493976,High usage,Positive charge tier,Long tenure,High failure,0,0,0,1
833,40,1,4503,72,8,37,15,A,Active,Under 30,N,0,112.575,1.8,0.2,0.20833333333333334,0.5138888888888888,High usage,Positive charge tier,Long tenure,High failure,0,0,0,0
834,18,1,6583,141,60,40,21,B,Active,Under 30,N,0,365.72222222222223,7.833333333333333,3.3333333333333335,0.14893617021276595,0.28368794326241137,High usage,Positive charge tier,Short tenure,High failure,1,0,0,0
835,40,0,0,0,0,0,0,A,Inactive,30-40,N,0,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Long tenure,Low failure,0,1,0,1
836,37,5,16460,246,17,86,31,A,Active,Under 30,N,0,444.86486486486484,6.648648648648648,0.4594594594594595,0.12601626016260162,0.34959349593495936,High usage,Positive charge tier,Long tenure,High failure,0,0,0,0
837,36,0,165,3,0,11,0,A,Inactive,Under 30,N,0,4.583333333333333,0.08333333333333333,0.0,0.0,3.6666666666666665,Low usage,Zero charge tier,Long tenure,Low failure,0,1,0,0
838,7,0,1372,14,2,8,0,A,Active,Under 30,Y,1,196.0,2.0,0.2857142857142857,0.0,0.5714285714285714,High usage,Zero charge tier,Short tenure,Low failure,0,0,1,0
839,36,3,9240,119,140,40,16,A,Active,30-40,N,0,256.6666666666667,3.3055555555555554,3.888888888888889,0.13445378151260504,0.33613445378151263,High usage,Positive charge tier,Long tenure,High failure,0,0,0,1
840,38,1,6095,81,168,28,2,A,Active,30-40,N,0,160.39473684210526,2.1315789473684212,4.421052631578948,0.024691358024691357,0.345679012345679,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
841,37,0,10865,144,0,32,3,A,Active,30-40,N,0,293.64864864864865,3.891891891891892,0.0,0.020833333333333332,0.2222222222222222,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
842,30,0,2760,20,0,10,0,A,Active,30-40,N,0,92.0,0.6666666666666666,0.0,0.0,0.5,Low usage,Zero charge tier,Short tenure,Low failure,0,0,0,1
843,26,0,1758,40,39,71,6,A,Active,Over 40,N,0,67.61538461538461,1.5384615384615385,1.5,0.15,1.775,Low usage,Zero charge tier,Short tenure,High failure,0,0,0,2
844,39,1,4110,78,0,27,6,A,Active,30-40,N,0,105.38461538461539,2.0,0.0,0.07692307692307693,0.34615384615384615,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
845,28,2,2025,47,201,11,10,B,Active,30-40,N,0,72.32142857142857,1.6785714285714286,7.178571428571429,0.2127659574468085,0.23404255319148937,Low usage,Positive charge tier,Short tenure,High failure,1,0,0,1
846,36,1,4000,86,29,26,15,A,Active,30-40,N,0,111.11111111111111,2.388888888888889,0.8055555555555556,0.1744186046511628,0.3023255813953488,High usage,Positive charge tier,Long tenure,High failure,0,0,0,1
847,35,0,0,0,0,0,0,A,Inactive,Under 30,N,0,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Long tenure,Low failure,0,1,0,0
848,8,2,4515,38,211,7,5,A,Active,30-40,N,0,564.375,4.75,26.375,0.13157894736842105,0.18421052631578946,High usage,Positive charge tier,Short tenure,High failure,0,0,0,1
849,24,0,520,4,14,1,0,A,Inactive,Over 40,N,0,21.666666666666668,0.16666666666666666,0.5833333333333334,0.0,0.25,Low usage,Zero charge tier,Short tenure,Low failure,0,1,0,2
850,35,3,9410,125,158,56,12,A,Active,30-40,N,0,268.85714285714283,3.5714285714285716,4.514285714285714,0.096,0.448,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
851,31,3,15885,237,0,77,23,A,Active,Under 30,N,0,512.4193548387096,7.645161290322581,0.0,0.0970464135021097,0.32489451476793246,High usage,Positive charge tier,Short tenure,High failure,0,0,0,0
852,24,0,520,4,14,1,0,A,Inactive,Over 40,N,0,21.666666666666668,0.16666666666666666,0.5833333333333334,0.0,0.25,Low usage,Zero charge tier,Short tenure,Low failure,0,1,0,2
853,31,0,3470,70,17,25,4,A,Active,Under 30,N,0,111.93548387096774,2.2580645161290325,0.5483870967741935,0.05714285714285714,0.35714285714285715,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
854,41,2,3145,34,15,17,8,A,Active,Over 40,N,0,76.70731707317073,0.8292682926829268,0.36585365853658536,0.23529411764705882,0.5,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,2
855,41,2,14193,181,39,50,12,A,Active,30-40,N,0,346.1707317073171,4.414634146341464,0.9512195121951219,0.06629834254143646,0.27624309392265195,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
856,40,1,2508,63,0,32,6,A,Active,Under 30,N,0,62.7,1.575,0.0,0.09523809523809523,0.5079365079365079,Low usage,Positive charge tier,Long tenure,Low failure,0,0,0,0
857,44,2,3345,69,197,31,16,A,Active,Under 30,N,0,76.02272727272727,1.5681818181818181,4.4772727272727275,0.2318840579710145,0.4492753623188406,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,0
858,34,0,695,6,0,6,0,A,Inactive,Under 30,N,0,20.441176470588236,0.17647058823529413,0.0,0.0,1.0,Low usage,Zero charge tier,Short tenure,Low failure,0,1,0,0
859,37,1,11220,151,9,47,5,A,Active,30-40,N,0,303.2432432432432,4.081081081081081,0.24324324324324326,0.033112582781456956,0.31125827814569534,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
860,41,1,6673,79,116,41,8,A,Active,Under 30,N,0,162.7560975609756,1.9268292682926829,2.8292682926829267,0.10126582278481013,0.5189873417721519,High usage,Positive charge tier,Long tenure,High failure,0,0,0,0
861,35,0,2800,40,0,13,7,A,Inactive,30-40,Y,1,80.0,1.1428571428571428,0.0,0.175,0.325,Low usage,Zero charge tier,Long tenure,High failure,0,1,1,1
862,12,0,9237,171,72,41,15,A,Active,Over 40,N,0,769.75,14.25,6.0,0.08771929824561403,0.23976608187134502,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,2
863,31,2,7080,101,28,35,2,A,Active,Over 40,N,0,228.38709677419354,3.2580645161290325,0.9032258064516129,0.019801980198019802,0.3465346534653465,High usage,Positive charge tier,Short tenure,Low failure,0,0,0,2
864,31,0,3893,54,0,32,3,A,Active,Under 30,N,0,125.58064516129032,1.7419354838709677,0.0,0.05555555555555555,0.5925925925925926,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
865,41,0,133,8,8,3,2,A,Inactive,30-40,N,1,3.2439024390243905,0.1951219512195122,0.1951219512195122,0.25,0.375,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,1
866,27,1,3285,64,13,25,5,A,Active,30-40,N,0,121.66666666666667,2.3703703703703702,0.48148148148148145,0.078125,0.390625,High usage,Positive charge tier,Short tenure,Low failure,0,0,0,1
867,40,1,14078,175,7,46,12,A,Active,30-40,N,0,351.95,4.375,0.175,0.06857142857142857,0.26285714285714284,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
868,40,0,13548,165,3,46,3,A,Active,30-40,N,0,338.7,4.125,0.075,0.01818181818181818,0.2787878787878788,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
869,41,0,305,6,7,2,5,A,Inactive,30-40,N,0,7.439024390243903,0.14634146341463414,0.17073170731707318,0.8333333333333334,0.3333333333333333,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,1
870,34,0,2283,50,7,13,9,A,Inactive,30-40,N,0,67.1470588235294,1.4705882352941178,0.20588235294117646,0.18,0.26,Low usage,Zero charge tier,Short tenure,High failure,0,1,0,1
871,12,3,5405,57,230,12,13,A,Active,30-40,N,0,450.4166666666667,4.75,19.166666666666668,0.22807017543859648,0.21052631578947367,High usage,Positive charge tier,Short tenure,High failure,0,0,0,1
872,17,4,2968,51,63,23,8,B,Active,30-40,N,0,174.58823529411765,3.0,3.7058823529411766,0.1568627450980392,0.45098039215686275,High usage,Positive charge tier,Short tenure,High failure,1,0,0,1
873,37,0,2375,48,157,25,5,A,Active,Under 30,N,0,64.1891891891892,1.2972972972972974,4.243243243243243,0.10416666666666667,0.5208333333333334,Low usage,Zero charge tier,Long tenure,High failure,0,0,0,0
874,34,0,0,0,0,0,0,A,Inactive,Over 40,N,1,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Short tenure,Low failure,0,1,0,2
875,26,1,1720,41,194,9,5,B,Active,Under 30,N,0,66.15384615384616,1.5769230769230769,7.461538461538462,0.12195121951219512,0.21951219512195122,Low usage,Positive charge tier,Short tenure,High failure,1,0,0,0
876,34,0,5485,69,154,24,0,A,Active,30-40,N,0,161.3235294117647,2.0294117647058822,4.529411764705882,0.0,0.34782608695652173,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,1
877,34,0,5703,93,28,25,10,A,Active,Under 30,N,1,167.73529411764707,2.735294117647059,0.8235294117647058,0.10752688172043011,0.26881720430107525,High usage,Zero charge tier,Short tenure,High failure,0,0,0,0
878,36,0,0,0,0,0,0,A,Inactive,Under 30,Y,1,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Long tenure,Low failure,0,1,1,0
879,35,1,7733,131,381,41,7,A,Active,30-40,N,0,220.94285714285715,3.742857142857143,10.885714285714286,0.05343511450381679,0.31297709923664124,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
880,38,0,1793,48,0,18,0,A,Active,Under 30,N,0,47.18421052631579,1.263157894736842,0.0,0.0,0.375,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
881,38,0,2680,61,53,22,14,A,Inactive,Over 40,N,0,70.52631578947368,1.605263157894737,1.394736842105263,0.22950819672131148,0.36065573770491804,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,2
882,19,0,0,0,0,0,0,A,Inactive,Under 30,N,0,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Short tenure,Low failure,0,1,0,0
883,41,3,3515,39,522,14,9,A,Active,Over 40,N,0,85.73170731707317,0.9512195121951219,12.731707317073171,0.23076923076923078,0.358974358974359,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,2
884,38,3,3685,69,203,40,15,A,Active,Under 30,N,0,96.97368421052632,1.8157894736842106,5.342105263157895,0.21739130434782608,0.5797101449275363,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,0
885,39,0,495,7,16,5,7,A,Inactive,Under 30,N,1,12.692307692307692,0.1794871794871795,0.41025641025641024,1.0,0.7142857142857143,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,0
886,29,0,1888,44,337,16,0,A,Active,Under 30,N,0,65.10344827586206,1.5172413793103448,11.620689655172415,0.0,0.36363636363636365,Low usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
887,34,0,0,0,0,0,0,A,Inactive,Under 30,N,0,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Short tenure,Low failure,0,1,0,0
888,35,0,15180,176,143,28,4,A,Active,Under 30,N,0,433.7142857142857,5.0285714285714285,4.085714285714285,0.022727272727272728,0.1590909090909091,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
889,34,0,2475,47,168,21,1,A,Active,Under 30,N,0,72.79411764705883,1.3823529411764706,4.9411764705882355,0.02127659574468085,0.44680851063829785,Low usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
890,41,1,2153,39,18,13,8,A,Active,Over 40,N,0,52.51219512195122,0.9512195121951219,0.43902439024390244,0.20512820512820512,0.3333333333333333,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,2
891,9,1,1487,19,0,7,3,A,Active,30-40,N,1,165.22222222222223,2.111111111111111,0.0,0.15789473684210525,0.3684210526315789,High usage,Positive charge tier,Short tenure,High failure,0,0,0,1
892,42,2,6500,92,194,27,5,A,Active,30-40,N,0,154.76190476190476,2.1904761904761907,4.619047619047619,0.05434782608695652,0.29347826086956524,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
893,39,0,2948,65,16,17,15,A,Inactive,30-40,N,0,75.58974358974359,1.6666666666666667,0.41025641025641024,0.23076923076923078,0.26153846153846155,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,1
894,18,2,6508,147,117,46,16,B,Active,Under 30,N,0,361.55555555555554,8.166666666666666,6.5,0.10884353741496598,0.3129251700680272,High usage,Positive charge tier,Short tenure,High failure,1,0,0,0
895,11,2,1793,25,7,9,8,A,Active,30-40,Y,1,163.0,2.272727272727273,0.6363636363636364,0.32,0.36,High usage,Positive charge tier,Short tenure,High failure,0,0,1,1
896,9,1,4635,43,217,10,5,A,Active,30-40,N,0,515.0,4.777777777777778,24.11111111111111,0.11627906976744186,0.23255813953488372,High usage,Positive charge tier,Short tenure,High failure,0,0,0,1
897,35,0,1260,53,23,19,28,A,Inactive,30-40,Y,1,36.0,1.5142857142857142,0.6571428571428571,0.5283018867924528,0.3584905660377358,Low usage,Zero charge tier,Long tenure,High failure,0,1,1,1
898,30,0,6365,85,0,16,0,A,Active,Over 40,N,0,212.16666666666666,2.8333333333333335,0.0,0.0,0.18823529411764706,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,2
899,37,0,3105,46,7,15,12,A,Inactive,30-40,N,1,83.91891891891892,1.2432432432432432,0.1891891891891892,0.2608695652173913,0.32608695652173914,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,1
900,7,0,8368,155,51,32,2,A,Active,Over 40,N,0,1195.4285714285713,22.142857142857142,7.285714285714286,0.012903225806451613,0.2064516129032258,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,2
901,33,0,438,2,0,3,3,A,Inactive,30-40,N,1,13.272727272727273,0.06060606060606061,0.0,1.5,1.5,Low usage,Zero charge tier,Short tenure,High failure,0,1,0,1
902,34,0,3695,80,22,24,10,A,Active,30-40,N,0,108.67647058823529,2.3529411764705883,0.6470588235294118,0.125,0.3,High usage,Zero charge tier,Short tenure,High failure,0,0,0,1
903,35,8,10840,98,2,40,22,A,Active,Over 40,N,0,309.7142857142857,2.8,0.05714285714285714,0.22448979591836735,0.40816326530612246,High usage,Positive charge tier,Long tenure,High failure,0,0,0,2
904,45,2,14078,181,15,47,14,A,Active,30-40,N,0,312.84444444444443,4.022222222222222,0.3333333333333333,0.07734806629834254,0.2596685082872928,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
905,43,2,7893,135,401,49,9,A,Active,30-40,N,0,183.5581395348837,3.13953488372093,9.325581395348838,0.06666666666666667,0.362962962962963,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
906,36,0,2023,41,32,31,7,A,Active,30-40,Y,1,56.19444444444444,1.1388888888888888,0.8888888888888888,0.17073170731707318,0.7560975609756098,Low usage,Zero charge tier,Long tenure,High failure,0,0,1,1
907,37,1,6043,93,7,9,9,A,Active,30-40,N,0,163.32432432432432,2.5135135135135136,0.1891891891891892,0.0967741935483871,0.0967741935483871,High usage,Positive charge tier,Long tenure,High failure,0,0,0,1
908,32,0,4255,73,0,19,2,A,Active,30-40,N,0,132.96875,2.28125,0.0,0.0273972602739726,0.2602739726027397,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,1
909,25,2,15815,228,0,74,20,A,Active,Under 30,N,0,632.6,9.12,0.0,0.08771929824561403,0.32456140350877194,High usage,Positive charge tier,Short tenure,Low failure,0,0,0,0
910,40,1,4290,79,5,27,3,A,Active,30-40,N,0,107.25,1.975,0.125,0.0379746835443038,0.34177215189873417,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
911,40,2,4820,89,9,27,12,A,Active,30-40,N,0,120.5,2.225,0.225,0.1348314606741573,0.30337078651685395,High usage,Positive charge tier,Long tenure,High failure,0,0,0,1
912,41,3,9195,123,154,47,14,A,Active,30-40,N,0,224.26829268292684,3.0,3.7560975609756095,0.11382113821138211,0.3821138211382114,High usage,Positive charge tier,Long tenure,High failure,0,0,0,1
913,35,0,1665,44,38,20,3,A,Inactive,30-40,N,0,47.57142857142857,1.2571428571428571,1.0857142857142856,0.06818181818181818,0.45454545454545453,Low usage,Zero charge tier,Long tenure,Low failure,0,1,0,1
914,33,4,16570,245,16,85,32,B,Active,Under 30,N,0,502.1212121212121,7.424242424242424,0.48484848484848486,0.1306122448979592,0.3469387755102041,High usage,Positive charge tier,Short tenure,High failure,1,0,0,0
915,38,0,628,9,16,7,7,A,Inactive,30-40,N,1,16.526315789473685,0.23684210526315788,0.42105263157894735,0.7777777777777778,0.7777777777777778,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,1
916,28,2,1430,42,225,15,4,B,Active,30-40,N,0,51.07142857142857,1.5,8.035714285714286,0.09523809523809523,0.35714285714285715,Low usage,Positive charge tier,Short tenure,Low failure,1,0,0,1
917,30,3,1735,48,232,17,9,B,Active,30-40,N,0,57.833333333333336,1.6,7.733333333333333,0.1875,0.3541666666666667,Low usage,Positive charge tier,Short tenure,High failure,1,0,0,1
918,26,0,6480,85,0,19,0,A,Active,Over 40,N,0,249.23076923076923,3.269230769230769,0.0,0.0,0.2235294117647059,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,2
919,42,2,4103,90,19,34,8,A,Active,30-40,N,0,97.69047619047619,2.142857142857143,0.4523809523809524,0.08888888888888889,0.37777777777777777,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
920,35,1,3843,80,7,25,5,A,Active,30-40,N,0,109.8,2.2857142857142856,0.2,0.0625,0.3125,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
921,20,0,740,18,1,6,3,A,Active,Under 30,N,0,37.0,0.9,0.05,0.16666666666666666,0.3333333333333333,Low usage,Zero charge tier,Short tenure,High failure,0,0,0,0
922,15,2,9533,181,94,55,16,A,Active,Over 40,N,0,635.5333333333333,12.066666666666666,6.266666666666667,0.08839779005524862,0.30386740331491713,High usage,Positive charge tier,Short tenure,Low failure,0,0,0,2
923,29,0,3413,70,0,25,0,A,Active,Under 30,N,0,117.6896551724138,2.413793103448276,0.0,0.0,0.35714285714285715,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
924,40,2,418,6,14,6,1,A,Active,Over 40,N,0,10.45,0.15,0.35,0.16666666666666666,1.0,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,2
925,36,0,2590,52,166,20,4,A,Active,Under 30,N,0,71.94444444444444,1.4444444444444444,4.611111111111111,0.07692307692307693,0.38461538461538464,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
926,13,0,8028,155,45,23,3,A,Active,Over 40,N,0,617.5384615384615,11.923076923076923,3.4615384615384617,0.01935483870967742,0.14838709677419354,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,2
927,28,0,0,0,0,0,0,A,Inactive,Under 30,N,1,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Short tenure,Low failure,0,1,0,0
928,44,10,11000,109,23,50,31,A,Active,Over 40,N,0,250.0,2.477272727272727,0.5227272727272727,0.28440366972477066,0.45871559633027525,High usage,Positive charge tier,Long tenure,High failure,0,0,0,2
929,36,0,2055,33,278,16,0,A,Active,30-40,N,0,57.083333333333336,0.9166666666666666,7.722222222222222,0.0,0.48484848484848486,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
930,38,0,438,8,7,4,5,A,Inactive,30-40,N,1,11.526315789473685,0.21052631578947367,0.18421052631578946,0.625,0.5,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,1
931,43,4,15140,231,62,33,27,A,Active,30-40,N,0,352.09302325581393,5.372093023255814,1.441860465116279,0.11688311688311688,0.14285714285714285,High usage,Positive charge tier,Long tenure,High failure,0,0,0,1
932,40,1,13888,174,0,43,10,A,Active,30-40,N,0,347.2,4.35,0.0,0.05747126436781609,0.2471264367816092,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
933,22,2,9237,183,88,43,19,A,Active,Over 40,N,0,419.8636363636364,8.318181818181818,4.0,0.10382513661202186,0.23497267759562843,High usage,Positive charge tier,Short tenure,High failure,0,0,0,2
934,36,0,4400,78,4,26,4,A,Active,30-40,N,0,122.22222222222223,2.1666666666666665,0.1111111111111111,0.05128205128205128,0.3333333333333333,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
935,9,1,4200,39,206,7,0,A,Active,30-40,N,0,466.6666666666667,4.333333333333333,22.88888888888889,0.0,0.1794871794871795,High usage,Positive charge tier,Short tenure,Low failure,0,0,0,1
936,35,0,2070,42,150,23,0,A,Active,Under 30,N,0,59.142857142857146,1.2,4.285714285714286,0.0,0.5476190476190477,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
937,36,4,7270,122,278,35,11,B,Active,30-40,N,0,201.94444444444446,3.388888888888889,7.722222222222222,0.09016393442622951,0.28688524590163933,High usage,Positive charge tier,Long tenure,Low failure,1,0,0,1
938,14,0,8222,160,48,40,6,A,Active,Over 40,N,0,587.2857142857143,11.428571428571429,3.4285714285714284,0.0375,0.25,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,2
939,13,2,4470,42,225,14,3,A,Active,30-40,N,0,343.84615384615387,3.230769230769231,17.307692307692307,0.07142857142857142,0.3333333333333333,High usage,Positive charge tier,Short tenure,Low failure,0,0,0,1
940,29,2,1620,42,200,13,9,B,Active,30-40,N,0,55.86206896551724,1.4482758620689655,6.896551724137931,0.21428571428571427,0.30952380952380953,Low usage,Positive charge tier,Short tenure,High failure,1,0,0,1
941,37,2,16085,192,171,45,13,A,Active,Under 30,N,0,434.72972972972974,5.1891891891891895,4.621621621621622,0.06770833333333333,0.234375,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,0
942,34,0,3833,57,0,31,2,A,Active,Under 30,N,0,112.73529411764706,1.6764705882352942,0.0,0.03508771929824561,0.543859649122807,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
943,46,2,2925,55,307,26,14,A,Active,Over 40,N,0,63.58695652173913,1.1956521739130435,6.673913043478261,0.2545454545454545,0.4727272727272727,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,2
944,36,1,3145,28,7,16,6,A,Active,30-40,N,0,87.36111111111111,0.7777777777777778,0.19444444444444445,0.21428571428571427,0.5714285714285714,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,1
945,38,0,3410,53,48,22,14,A,Inactive,30-40,N,1,89.73684210526316,1.394736842105263,1.263157894736842,0.2641509433962264,0.41509433962264153,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,1
946,23,0,1165,29,14,11,7,A,Active,Under 30,N,0,50.65217391304348,1.2608695652173914,0.6086956521739131,0.2413793103448276,0.3793103448275862,Low usage,Zero charge tier,Short tenure,High failure,0,0,0,0
947,39,0,585,16,17,11,0,A,Inactive,Under 30,N,0,15.0,0.41025641025641024,0.4358974358974359,0.0,0.6875,Low usage,Zero charge tier,Long tenure,Low failure,0,1,0,0
948,35,1,9000,116,146,44,10,A,Active,30-40,N,0,257.14285714285717,3.3142857142857145,4.171428571428572,0.08620689655172414,0.3793103448275862,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
949,30,0,0,0,0,0,0,A,Inactive,Under 30,Y,1,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Short tenure,Low failure,0,1,1,0
950,36,1,6528,75,133,39,3,A,Active,Under 30,N,0,181.33333333333334,2.0833333333333335,3.6944444444444446,0.04,0.52,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,0
951,32,0,3295,41,8,17,12,A,Inactive,30-40,Y,1,102.96875,1.28125,0.25,0.2926829268292683,0.4146341463414634,High usage,Zero charge tier,Short tenure,High failure,0,1,1,1
952,37,0,2263,59,350,21,8,A,Active,30-40,N,0,61.16216216216216,1.5945945945945945,9.45945945945946,0.13559322033898305,0.3559322033898305,Low usage,Zero charge tier,Long tenure,High failure,0,0,0,1
953,38,1,4325,82,0,22,5,A,Active,30-40,N,0,113.8157894736842,2.1578947368421053,0.0,0.06097560975609756,0.2682926829268293,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
954,41,0,80,2,10,4,1,A,Inactive,Under 30,N,1,1.951219512195122,0.04878048780487805,0.24390243902439024,0.5,2.0,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,0
955,18,4,2967,50,29,18,11,A,Active,30-40,N,0,164.83333333333334,2.7777777777777777,1.6111111111111112,0.22,0.36,High usage,Positive charge tier,Short tenure,High failure,0,0,0,1
956,15,0,6333,138,80,40,13,B,Active,Under 30,N,0,422.2,9.2,5.333333333333333,0.09420289855072464,0.2898550724637681,High usage,Zero charge tier,Short tenure,Low failure,1,0,0,0
957,16,0,1580,21,30,15,0,A,Active,Under 30,N,0,98.75,1.3125,1.875,0.0,0.7142857142857143,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
958,35,1,8810,115,137,41,8,A,Active,30-40,N,0,251.71428571428572,3.2857142857142856,3.914285714285714,0.06956521739130435,0.3565217391304348,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
959,36,8,10435,93,1,42,21,A,Active,Over 40,Y,0,289.8611111111111,2.5833333333333335,0.027777777777777776,0.22580645161290322,0.45161290322580644,High usage,Positive charge tier,Long tenure,High failure,0,0,1,2
960,12,0,8513,159,34,34,7,A,Active,Over 40,N,0,709.4166666666666,13.25,2.8333333333333335,0.0440251572327044,0.2138364779874214,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,2
961,37,0,2570,60,66,37,12,A,Inactive,Over 40,Y,1,69.45945945945945,1.6216216216216217,1.7837837837837838,0.2,0.6166666666666667,Low usage,Zero charge tier,Long tenure,High failure,0,1,1,2
962,37,0,0,0,0,0,0,A,Inactive,Under 30,N,0,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Long tenure,Low failure,0,1,0,0
963,42,2,6718,81,116,38,10,A,Active,Under 30,N,0,159.95238095238096,1.9285714285714286,2.761904761904762,0.12345679012345678,0.4691358024691358,High usage,Positive charge tier,Long tenure,High failure,0,0,0,0
964,35,0,6413,69,101,35,3,A,Active,Under 30,N,0,183.22857142857143,1.9714285714285715,2.8857142857142857,0.043478260869565216,0.5072463768115942,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
965,17,1,8993,174,78,42,15,A,Active,Over 40,N,0,529.0,10.235294117647058,4.588235294117647,0.08620689655172414,0.2413793103448276,High usage,Positive charge tier,Short tenure,Low failure,0,0,0,2
966,35,0,7448,124,379,41,0,A,Active,Under 30,N,0,212.8,3.5428571428571427,10.82857142857143,0.0,0.33064516129032256,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
967,33,0,2373,58,349,20,9,A,Active,Under 30,N,0,71.9090909090909,1.7575757575757576,10.575757575757576,0.15517241379310345,0.3448275862068966,Low usage,Zero charge tier,Short tenure,High failure,0,0,0,0
